ID_obra,Tipo_ladrillo,Altura_muro,Ancho_muro,Espesor_muro,Area_muro,Cantidad_ladrillos,Cemento (Kg),Cal (Kg),Arena (m3),Cemento_albañilería (Kg)
1,Ceramico no portante 8x18x33,2.76,2.73,0.1,7.53,238.0,19.59,18.84,0.09,0.0
2,Ceramico no portante 8x18x33,1.92,3.84,0.1,7.37,213.0,19.17,18.43,0.088,0.0
3,Ceramico no portante 8x18x33,1.87,4.89,0.1,9.14,298.0,0.0,0.0,0.137,25.6
4,Ceramico no portante 8x18x33,2.54,4.45,0.1,11.3,305.0,29.39,28.26,0.136,0.0
5,Ceramico no portante 8x18x33,2.28,2.19,0.1,4.99,163.0,12.98,12.48,0.06,0.0
6,Ceramico no portante 8x18x33,2.74,2.8,0.1,7.67,230.0,0.0,0.0,0.115,21.48
7,Ceramico no portante 8x18x33,2.62,3.8,0.1,9.96,269.0,25.89,24.89,0.119,0.0
8,Ceramico no portante 8x18x33,2.17,2.39,0.1,5.19,161.0,0.0,0.0,0.078,14.52
9,Ceramico no portante 8x18x33,2.53,5.33,0.1,13.48,378.0,35.06,33.71,0.162,0.0
10,Ceramico no portante 8x18x33,2.6,3.25,0.1,8.45,254.0,0.0,0.0,0.127,23.66
11,Ceramico no portante 8x18x33,1.84,5.37,0.1,9.88,293.0,0.0,0.0,0.148,27.67
12,Ceramico no portante 8x18x33,2.52,5.69,0.1,14.34,394.0,0.0,0.0,0.215,40.15
13,Ceramico no portante 8x18x33,2.7,4.16,0.1,11.23,342.0,0.0,0.0,0.168,31.45
14,Ceramico no portante 8x18x33,2.76,2.3,0.1,6.35,208.0,16.5,15.87,0.076,0.0
15,Ceramico no portante 8x18x33,1.81,5.26,0.1,9.52,297.0,0.0,0.0,0.143,26.66
16,Ceramico no portante 8x18x33,2.53,5.71,0.1,14.45,446.0,37.56,36.12,0.173,0.0
17,Ceramico no portante 8x18x33,2.34,2.38,0.1,5.57,162.0,0.0,0.0,0.084,15.59
18,Ceramico no portante 8x18x33,2.57,5.55,0.1,14.26,425.0,0.0,0.0,0.214,39.94
19,Ceramico no portante 8x18x33,2.71,4.25,0.1,11.52,364.0,29.95,28.79,0.138,0.0
20,Ceramico no portante 8x18x33,2.65,2.44,0.1,6.47,191.0,16.81,16.16,0.078,0.0
21,Ceramico no portante 8x18x33,2.48,4.78,0.1,11.85,329.0,0.0,0.0,0.178,33.19
22,Ceramico no portante 8x18x33,2.71,2.92,0.1,7.91,217.0,20.57,19.78,0.095,0.0
23,Ceramico no portante 8x18x33,2.92,5.23,0.1,15.27,470.0,0.0,0.0,0.229,42.76
24,Ceramico no portante 8x18x33,2.06,3.67,0.1,7.56,244.0,0.0,0.0,0.113,21.17
25,Ceramico no portante 8x18x33,2.13,4.59,0.1,9.78,264.0,25.42,24.44,0.117,0.0
26,Ceramico no portante 8x18x33,1.81,4.04,0.1,7.31,215.0,19.01,18.28,0.088,0.0
27,Ceramico no portante 8x18x33,2.12,2.98,0.1,6.32,176.0,16.43,15.79,0.076,0.0
28,Ceramico no portante 8x18x33,1.88,3.02,0.1,5.68,161.0,14.76,14.19,0.068,0.0
29,Ceramico no portante 8x18x33,2.16,3.14,0.1,6.78,184.0,17.63,16.96,0.081,0.0
30,Ceramico no portante 8x18x33,2.29,2.13,0.1,4.88,141.0,0.0,0.0,0.073,13.66
31,Ceramico no portante 8x18x33,1.97,3.96,0.1,7.8,256.0,0.0,0.0,0.117,21.84
32,Ceramico no portante 8x18x33,2.09,4.91,0.1,10.26,299.0,0.0,0.0,0.154,28.73
33,Ceramico no portante 8x18x33,2.28,5.27,0.1,12.02,381.0,0.0,0.0,0.18,33.64
34,Ceramico no portante 8x18x33,2.02,2.16,0.1,4.36,133.0,11.34,10.91,0.052,0.0
35,Ceramico no portante 8x18x33,2.41,2.91,0.1,7.01,216.0,0.0,0.0,0.105,19.64
36,Ceramico no portante 8x18x33,2.28,4.07,0.1,9.28,297.0,24.13,23.2,0.111,0.0
37,Ceramico no portante 8x18x33,1.94,5.7,0.1,11.06,356.0,28.75,27.64,0.133,0.0
38,Ceramico no portante 8x18x33,2.78,4.22,0.1,11.73,354.0,0.0,0.0,0.176,32.85
39,Ceramico no portante 8x18x33,2.96,4.23,0.1,12.52,404.0,0.0,0.0,0.188,35.06
40,Ceramico no portante 8x18x33,2.64,5.39,0.1,14.23,457.0,37.0,35.57,0.171,0.0
41,Ceramico no portante 8x18x33,2.92,5.14,0.1,15.01,465.0,39.02,37.52,0.18,0.0
42,Ceramico no portante 8x18x33,2.6,2.02,0.1,5.25,146.0,13.66,13.13,0.063,0.0
43,Ceramico no portante 8x18x33,2.34,5.98,0.1,13.99,392.0,0.0,0.0,0.21,39.18
44,Ceramico no portante 8x18x33,2.19,4.99,0.1,10.93,337.0,0.0,0.0,0.164,30.6
45,Ceramico no portante 8x18x33,2.17,4.17,0.1,9.05,271.0,23.53,22.62,0.109,0.0
46,Ceramico no portante 8x18x33,2.97,3.95,0.1,11.73,380.0,0.0,0.0,0.176,32.85
47,Ceramico no portante 8x18x33,2.57,4.68,0.1,12.03,387.0,0.0,0.0,0.18,33.68
48,Ceramico no portante 8x18x33,1.83,4.58,0.1,8.38,235.0,0.0,0.0,0.126,23.47
49,Ceramico no portante 8x18x33,2.24,2.06,0.1,4.61,150.0,0.0,0.0,0.069,12.92
50,Ceramico no portante 8x18x33,2.49,5.92,0.1,14.74,404.0,38.33,36.85,0.177,0.0
51,Ceramico no portante 8x18x33,2.25,3.58,0.1,8.06,258.0,0.0,0.0,0.121,22.55
52,Ceramico no portante 8x18x33,2.05,4.68,0.1,9.59,279.0,0.0,0.0,0.144,26.86
53,Ceramico no portante 8x18x33,2.69,4.79,0.1,12.89,402.0,0.0,0.0,0.193,36.08
54,Ceramico no portante 8x18x33,2.77,5.24,0.1,14.51,467.0,0.0,0.0,0.218,40.64
55,Ceramico no portante 8x18x33,1.81,4.51,0.1,8.16,229.0,0.0,0.0,0.122,22.86
56,Ceramico no portante 8x18x33,1.86,5.55,0.1,10.32,280.0,0.0,0.0,0.155,28.9
57,Ceramico no portante 8x18x33,2.49,2.14,0.1,5.33,158.0,0.0,0.0,0.08,14.92
58,Ceramico no portante 8x18x33,2.79,3.44,0.1,9.6,266.0,0.0,0.0,0.144,26.87
59,Ceramico no portante 8x18x33,2.06,4.49,0.1,9.25,254.0,0.0,0.0,0.139,25.9
60,Ceramico no portante 8x18x33,2.45,4.55,0.1,11.15,349.0,0.0,0.0,0.167,31.21
61,Ceramico no portante 8x18x33,2.66,2.16,0.1,5.75,168.0,0.0,0.0,0.086,16.09
62,Ceramico no portante 8x18x33,1.89,2.1,0.1,3.97,130.0,0.0,0.0,0.06,11.11
63,Ceramico no portante 8x18x33,1.87,5.66,0.1,10.58,313.0,27.52,26.46,0.127,0.0
64,Ceramico no portante 8x18x33,2.92,4.55,0.1,13.29,399.0,0.0,0.0,0.199,37.2
65,Ceramico no portante 8x18x33,2.3,2.99,0.1,6.88,200.0,17.88,17.19,0.083,0.0
66,Ceramico no portante 8x18x33,2.21,2.37,0.1,5.24,144.0,13.62,13.09,0.063,0.0
67,Ceramico no portante 8x18x33,2.01,2.07,0.1,4.16,131.0,0.0,0.0,0.062,11.65
68,Ceramico no portante 8x18x33,2.36,4.6,0.1,10.86,296.0,28.23,27.14,0.13,0.0
69,Ceramico no portante 8x18x33,2.11,2.06,0.1,4.35,141.0,0.0,0.0,0.065,12.17
70,Ceramico no portante 8x18x33,2.0,2.28,0.1,4.56,140.0,11.86,11.4,0.055,0.0
71,Ceramico no portante 8x18x33,2.56,5.2,0.1,13.31,413.0,0.0,0.0,0.2,37.27
72,Ceramico no portante 8x18x33,2.35,4.18,0.1,9.82,320.0,25.54,24.56,0.118,0.0
73,Ceramico no portante 8x18x33,2.58,2.83,0.1,7.3,209.0,18.98,18.25,0.088,0.0
74,Ceramico no portante 8x18x33,1.85,4.47,0.1,8.27,239.0,0.0,0.0,0.124,23.15
75,Ceramico no portante 8x18x33,2.62,3.36,0.1,8.8,251.0,0.0,0.0,0.132,24.65
76,Ceramico no portante 8x18x33,2.64,4.52,0.1,11.93,385.0,0.0,0.0,0.179,33.41
77,Ceramico no portante 8x18x33,2.96,4.19,0.1,12.4,366.0,32.25,31.01,0.149,0.0
78,Ceramico no portante 8x18x33,2.3,3.49,0.1,8.03,254.0,20.87,20.07,0.096,0.0
79,Ceramico no portante 8x18x33,2.62,4.96,0.1,13.0,369.0,33.79,32.49,0.156,0.0
80,Ceramico no portante 8x18x33,2.4,3.56,0.1,8.54,245.0,0.0,0.0,0.128,23.92
81,Ceramico no portante 8x18x33,1.81,5.62,0.1,10.17,280.0,0.0,0.0,0.153,28.48
82,Ceramico no portante 8x18x33,2.61,3.93,0.1,10.26,307.0,0.0,0.0,0.154,28.72
